"","trial","Environment","meanReward","maxReward","Model"
"1",1,"Smooth",50.0713281685918,50.0713281685918,"Lazy-UCB"
"2",2,"Smooth",50.7495193904751,56.4089771109045,"Lazy-UCB"
"3",3,"Smooth",51.9112489849655,61.3749408112312,"Lazy-UCB"
"4",4,"Smooth",53.8460949720542,65.4763270738266,"Lazy-UCB"
"5",5,"Smooth",54.8231932249911,68.6849525420031,"Lazy-UCB"
"6",6,"Smooth",55.6325565566031,71.3451401572395,"Lazy-UCB"
"7",7,"Smooth",56.2074413508012,73.4980434521561,"Lazy-UCB"
"8",8,"Smooth",56.7922419172414,75.2967266855547,"Lazy-UCB"
"9",9,"Smooth",57.1093902136216,76.8684406433237,"Lazy-UCB"
"10",10,"Smooth",57.4070641417799,78.3354058355388,"Lazy-UCB"
"11",11,"Smooth",57.1802348836275,79.6277504311343,"Lazy-UCB"
"12",12,"Smooth",57.6362988170443,80.770504419282,"Lazy-UCB"
"13",13,"Smooth",57.7795232398007,81.8257799064049,"Lazy-UCB"
"14",14,"Smooth",57.6666405694856,82.675739892006,"Lazy-UCB"
"15",15,"Smooth",57.8267303475828,83.4968066254841,"Lazy-UCB"
"16",16,"Smooth",58.2273842553675,84.300947095501,"Lazy-UCB"
"17",17,"Smooth",58.5875648732164,85.0976716905942,"Lazy-UCB"
"18",18,"Smooth",58.6009195427446,85.7743856171893,"Lazy-UCB"
"19",19,"Smooth",58.5107681724071,86.3725498294574,"Lazy-UCB"
"20",20,"Smooth",58.8262514708795,86.9294127669489,"Lazy-UCB"
"21",21,"Smooth",59.2184065320305,87.4995210261784,"Lazy-UCB"
"22",22,"Smooth",59.2441414473319,87.9979466171003,"Lazy-UCB"
"23",23,"Smooth",59.0860779921611,88.4645940707471,"Lazy-UCB"
"24",24,"Smooth",59.0208456793079,88.9869487195438,"Lazy-UCB"
"25",25,"Smooth",59.076034725381,89.4365362069571,"Lazy-UCB"
"26",26,"Smooth",58.8434517301315,89.8446165642559,"Lazy-UCB"
"27",27,"Smooth",58.9458297310912,90.2165374171344,"Lazy-UCB"
"28",28,"Smooth",59.4128531852948,90.6242171223447,"Lazy-UCB"
"29",29,"Smooth",59.6077619643514,91.0013884537482,"Lazy-UCB"
"30",30,"Smooth",59.9343360909091,91.3642702644288,"Lazy-UCB"
"31",31,"Smooth",59.9466394520404,91.7087767848949,"Lazy-UCB"
"32",32,"Smooth",60.1649433598184,92.0236381764558,"Lazy-UCB"
"33",33,"Smooth",60.3043966557952,92.3557274722714,"Lazy-UCB"
"34",34,"Smooth",60.3141351286003,92.6544390375558,"Lazy-UCB"
"35",35,"Smooth",60.3310425838663,92.9387032748935,"Lazy-UCB"
"36",36,"Smooth",60.4615835486377,93.2005239977098,"Lazy-UCB"
"37",37,"Smooth",60.6104282414421,93.4659610082655,"Lazy-UCB"
"38",38,"Smooth",60.7884321907744,93.7251451789281,"Lazy-UCB"
"39",39,"Smooth",60.8489870605462,93.9693994307077,"Lazy-UCB"
"40",40,"Smooth",61.0434566297176,94.2119055674043,"Lazy-UCB"
"41",41,"Smooth",61.2966965579979,94.4195913736157,"Lazy-UCB"
"42",1,"Rough",47.2242713139807,47.2242713139807,"Lazy-UCB"
"43",2,"Rough",48.0744393365408,55.7986703884907,"Lazy-UCB"
"44",3,"Rough",49.2226394656123,61.3988036803135,"Lazy-UCB"
"45",4,"Rough",50.8466660181957,65.630282729767,"Lazy-UCB"
"46",5,"Rough",51.5112211198567,68.8634599216211,"Lazy-UCB"
"47",6,"Rough",52.0708265616377,71.3227054235874,"Lazy-UCB"
"48",7,"Rough",52.1991067592374,73.4550481252922,"Lazy-UCB"
"49",8,"Rough",52.5611020992299,75.2288808663001,"Lazy-UCB"
"50",9,"Rough",52.8024902110742,76.9027339269012,"Lazy-UCB"
"51",10,"Rough",53.1858145853806,78.3031733949413,"Lazy-UCB"
"52",11,"Rough",53.5484121048265,79.5343516476453,"Lazy-UCB"
"53",12,"Rough",53.7997112362687,80.6282285763351,"Lazy-UCB"
"54",13,"Rough",53.883241710379,81.5703262644787,"Lazy-UCB"
"55",14,"Rough",53.8891297728805,82.40781339216,"Lazy-UCB"
