"","trial","Environment","meanReward","maxReward","Model"
"1",1,"Smooth",50.200947054647,50.200947054647,"UCB-RBF"
"2",2,"Smooth",53.0939517833264,63.8212213921847,"UCB-RBF"
"3",3,"Smooth",56.4409772405913,70.7872153728593,"UCB-RBF"
"4",4,"Smooth",59.4919105020031,75.6462191714291,"UCB-RBF"
"5",5,"Smooth",61.727023097036,79.3512996682951,"UCB-RBF"
"6",6,"Smooth",63.1434777989084,82.3859810559588,"UCB-RBF"
"7",7,"Smooth",64.5926346502735,84.9060102709315,"UCB-RBF"
"8",8,"Smooth",65.9367694798414,87.2233652702083,"UCB-RBF"
"9",9,"Smooth",68.6596215534321,89.4500879655879,"UCB-RBF"
"10",10,"Smooth",71.4143642153138,91.5633652708516,"UCB-RBF"
"11",11,"Smooth",74.6955480760408,93.4868724740967,"UCB-RBF"
"12",12,"Smooth",77.7940946726984,95.0206686683122,"UCB-RBF"
"13",13,"Smooth",81.4074828639368,96.3211113547503,"UCB-RBF"
"14",14,"Smooth",83.9175398148048,97.286648853398,"UCB-RBF"
"15",15,"Smooth",86.6962449747668,98.006886235207,"UCB-RBF"
"16",16,"Smooth",89.0311581638058,98.4543403618584,"UCB-RBF"
"17",17,"Smooth",90.6464726135781,98.8066583587867,"UCB-RBF"
"18",18,"Smooth",92.1884543760169,99.0352350330642,"UCB-RBF"
"19",19,"Smooth",93.2405933690762,99.1961008439649,"UCB-RBF"
"20",20,"Smooth",94.0501768302172,99.3181122166439,"UCB-RBF"
"21",21,"Smooth",94.8837644153669,99.4121096277067,"UCB-RBF"
"22",22,"Smooth",95.2371678906135,99.4771814639894,"UCB-RBF"
"23",23,"Smooth",95.9705912063835,99.5251858328439,"UCB-RBF"
"24",24,"Smooth",96.2224656920024,99.5567164645147,"UCB-RBF"
"25",25,"Smooth",96.6402798667114,99.5876776944416,"UCB-RBF"
"26",26,"Smooth",97.0125695089986,99.6096051509414,"UCB-RBF"
"27",27,"Smooth",96.9458902945402,99.6228030362901,"UCB-RBF"
"28",28,"Smooth",97.134323496033,99.6389280306857,"UCB-RBF"
"29",29,"Smooth",97.2846732997589,99.6485701964703,"UCB-RBF"
"30",30,"Smooth",97.5726999152417,99.6592196921766,"UCB-RBF"
"31",31,"Smooth",97.6224915818098,99.6661010173526,"UCB-RBF"
"32",32,"Smooth",97.8442175639204,99.6741204388683,"UCB-RBF"
"33",33,"Smooth",97.9084268412368,99.6849507854211,"UCB-RBF"
"34",34,"Smooth",97.8539719325827,99.6881797817046,"UCB-RBF"
"35",35,"Smooth",97.9689298488342,99.6933300328232,"UCB-RBF"
"36",36,"Smooth",98.1432033874114,99.7000449923129,"UCB-RBF"
"37",37,"Smooth",98.1397205389529,99.7077820629823,"UCB-RBF"
"38",38,"Smooth",98.1717878038697,99.7140303665663,"UCB-RBF"
"39",39,"Smooth",98.1102880077719,99.7166608403769,"UCB-RBF"
"40",40,"Smooth",98.3198986912634,99.7181611945183,"UCB-RBF"
"41",41,"Smooth",98.3469775311897,99.7210311603577,"UCB-RBF"
"42",1,"Rough",47.4073910580342,47.4073910580342,"UCB-RBF"
"43",2,"Rough",47.9278092342108,59.4605997724834,"UCB-RBF"
"44",3,"Rough",48.3500585945234,65.511667801366,"UCB-RBF"
"45",4,"Rough",49.0453947030456,69.3450935257948,"UCB-RBF"
"46",5,"Rough",49.4211324806034,72.0865257605333,"UCB-RBF"
"47",6,"Rough",50.3446816274191,74.3977393791384,"UCB-RBF"
"48",7,"Rough",50.8482200149706,76.2483962402467,"UCB-RBF"
"49",8,"Rough",51.8266970059584,77.9410406130418,"UCB-RBF"
"50",9,"Rough",52.6620831623623,79.4660656972467,"UCB-RBF"
"51",10,"Rough",53.816331073941,80.8698901164172,"UCB-RBF"
"52",11,"Rough",56.2774569595033,82.2687957393469,"UCB-RBF"
"53",12,"Rough",58.3203268559628,83.6157997990276,"UCB-RBF"
"54",13,"Rough",61.0424995746901,84.8203855451514,"UCB-RBF"
"55",14,"Rough",63.2776411297158,85.9197477994557,"UCB-RBF"
"56",15,"Rough",65.6920854198254,86.9408968058909,"UCB-RBF"
"57",16,"Rough",68.5303577986951,87.9533876181978,"UCB-RBF"
"58",17,"Rough",71.3675326333231,88.803407485205,"UCB-RBF"
"59",18,"Rough",73.5505245277289,89.6094996676027,"UCB-RBF"
"60",19,"Rough",76.2074980783947,90.2942045085788,"UCB-RBF"
"61",20,"Rough",78.5713639662517,90.954220324986,"UCB-RBF"
"62",21,"Rough",80.3568376770897,91.4978816777836,"UCB-RBF"
"63",22,"Rough",82.0119011390605,91.9121912025083,"UCB-RBF"
"64",23,"Rough",83.8392505149912,92.309395737532,"UCB-RBF"
"65",24,"Rough",84.9929616748254,92.6472105926051,"UCB-RBF"
"66",25,"Rough",85.9611338459464,92.8981408242498,"UCB-RBF"
"67",26,"Rough",87.0054386182165,93.132354747574,"UCB-RBF"
"68",27,"Rough",88.0620167584409,93.3338128914572,"UCB-RBF"
"69",28,"Rough",88.6956838360458,93.4921294490396,"UCB-RBF"
"70",29,"Rough",89.2035153825441,93.613422339397,"UCB-RBF"
"71",30,"Rough",89.8823243481201,93.7303094945037,"UCB-RBF"
"72",31,"Rough",90.3908198443166,93.8314939352588,"UCB-RBF"
"73",32,"Rough",90.7934757392662,93.9199526488881,"UCB-RBF"
"74",33,"Rough",90.9238541052253,93.9701411353121,"UCB-RBF"
"75",34,"Rough",91.453487876293,94.0356714321195,"UCB-RBF"
"76",35,"Rough",91.7036379985316,94.0934767549452,"UCB-RBF"
"77",36,"Rough",91.9550831916003,94.1464707142421,"UCB-RBF"
"78",37,"Rough",92.0986261711607,94.1762121694113,"UCB-RBF"
"79",38,"Rough",92.221208526131,94.203097129333,"UCB-RBF"
"80",39,"Rough",92.3824562890738,94.2371201397785,"UCB-RBF"
"81",40,"Rough",92.5944555252192,94.2574684641909,"UCB-RBF"
"82",41,"Rough",92.7242048809877,94.2842496895811,"UCB-RBF"
