"","trial","Environment","meanReward","maxReward","Model"
"1",1,"Smooth",49.9739103463429,49.9739103463429,"UCB-RBF"
"2",2,"Smooth",59.14973998565,64.9074864432795,"UCB-RBF"
"3",3,"Smooth",67.7009291477431,72.8695234535675,"UCB-RBF"
"4",4,"Smooth",71.7607971416742,78.3869353602335,"UCB-RBF"
"5",5,"Smooth",74.8902221494019,81.802263606087,"UCB-RBF"
"6",6,"Smooth",75.9881697807566,84.7908483636704,"UCB-RBF"
"7",7,"Smooth",77.0893668747042,86.55801751355,"UCB-RBF"
"8",8,"Smooth",76.5135713561018,87.9214058322476,"UCB-RBF"
"9",9,"Smooth",75.2938352787014,88.5476581765985,"UCB-RBF"
"10",10,"Smooth",74.4604526015256,89.1506631558924,"UCB-RBF"
"11",11,"Smooth",72.8011819342121,89.6140715554785,"UCB-RBF"
"12",12,"Smooth",72.5281876137677,90.1987740916096,"UCB-RBF"
"13",13,"Smooth",72.8071050366132,90.640997107831,"UCB-RBF"
"14",14,"Smooth",72.3817364605139,91.2166840704595,"UCB-RBF"
"15",15,"Smooth",71.7323623875621,91.5971591898174,"UCB-RBF"
"16",16,"Smooth",71.3775993590795,92.026891034726,"UCB-RBF"
"17",17,"Smooth",71.0900875553506,92.4784294086744,"UCB-RBF"
"18",18,"Smooth",70.6722946128776,92.8370123015179,"UCB-RBF"
"19",19,"Smooth",71.3506176192565,93.1904882875854,"UCB-RBF"
"20",20,"Smooth",71.6831262630101,93.4696976105642,"UCB-RBF"
"21",21,"Smooth",73.9475859975368,94.0227557944139,"UCB-RBF"
"22",22,"Smooth",75.6596678373672,94.2777442463459,"UCB-RBF"
"23",23,"Smooth",76.3599674197775,94.4313487122688,"UCB-RBF"
"24",24,"Smooth",77.4915628048374,94.6378475393015,"UCB-RBF"
"25",25,"Smooth",77.551888669774,94.8256707262696,"UCB-RBF"
"26",26,"Smooth",76.6042250057156,94.9692250420828,"UCB-RBF"
"27",27,"Smooth",77.5570156963697,95.2015877491086,"UCB-RBF"
"28",28,"Smooth",76.1899657666001,95.4394981070971,"UCB-RBF"
"29",29,"Smooth",78.8206800920001,95.6224761107293,"UCB-RBF"
"30",30,"Smooth",80.8177204824556,95.9434706557209,"UCB-RBF"
"31",31,"Smooth",81.9571361499169,96.3237934490691,"UCB-RBF"
"32",32,"Smooth",79.7828030066608,96.5447804244464,"UCB-RBF"
"33",33,"Smooth",78.9573354446773,96.7338414761587,"UCB-RBF"
"34",34,"Smooth",81.6862352711831,96.9219922668306,"UCB-RBF"
"35",35,"Smooth",81.9216802234914,97.0884693161547,"UCB-RBF"
"36",36,"Smooth",82.1221007346864,97.201022573591,"UCB-RBF"
"37",37,"Smooth",82.4579273951605,97.311400479267,"UCB-RBF"
"38",38,"Smooth",83.1304300123294,97.4983978273268,"UCB-RBF"
"39",39,"Smooth",84.7111003073476,97.6716097717551,"UCB-RBF"
"40",40,"Smooth",85.3925095307282,97.9726039545969,"UCB-RBF"
"41",41,"Smooth",86.7503306082465,98.3394660837833,"UCB-RBF"
"42",1,"Rough",47.1764333969768,47.1764333969768,"UCB-RBF"
"43",2,"Rough",54.7325023410661,61.148359570773,"UCB-RBF"
"44",3,"Rough",59.2327706630535,67.8836503242276,"UCB-RBF"
"45",4,"Rough",58.0338243880361,72.0285710760668,"UCB-RBF"
"46",5,"Rough",58.348494352198,74.698811251474,"UCB-RBF"
"47",6,"Rough",63.0522198150912,77.7365906108637,"UCB-RBF"
"48",7,"Rough",60.3184516753317,79.4695454329709,"UCB-RBF"
"49",8,"Rough",60.7519809559689,81.0992610143195,"UCB-RBF"
"50",9,"Rough",62.259020164537,82.6852815878966,"UCB-RBF"
"51",10,"Rough",63.1754872297905,84.1218597249642,"UCB-RBF"
"52",11,"Rough",64.1108300480903,85.1831436646338,"UCB-RBF"
"53",12,"Rough",63.1505787000059,86.0121920115359,"UCB-RBF"
"54",13,"Rough",64.4842910259638,86.8214010630932,"UCB-RBF"
"55",14,"Rough",64.6901249421396,87.4884659815586,"UCB-RBF"
"56",15,"Rough",66.6358461947685,88.2674546314121,"UCB-RBF"
"57",16,"Rough",67.7491815730124,89.2636752694145,"UCB-RBF"
"58",17,"Rough",67.6993310152758,89.8026885536647,"UCB-RBF"
"59",18,"Rough",69.9482769160393,90.5482928325121,"UCB-RBF"
"60",19,"Rough",69.0050419765459,90.8868318702556,"UCB-RBF"
"61",20,"Rough",69.4801145564417,91.4051552166224,"UCB-RBF"
"62",21,"Rough",69.2343818711694,92.0071458278552,"UCB-RBF"
"63",22,"Rough",68.4333212748347,92.5115823209115,"UCB-RBF"
"64",23,"Rough",70.2133647133466,93.0391296420532,"UCB-RBF"
"65",24,"Rough",70.132764331901,93.4721904428512,"UCB-RBF"
"66",25,"Rough",71.4393943316308,94.3460428725615,"UCB-RBF"
"67",26,"Rough",72.5185944743243,94.5057748260107,"UCB-RBF"
"68",27,"Rough",72.0163859778847,94.695892807049,"UCB-RBF"
"69",28,"Rough",73.0558229035763,94.9778251795643,"UCB-RBF"
"70",29,"Rough",73.1058352905644,95.1004863041375,"UCB-RBF"
"71",30,"Rough",74.8347307256651,95.3005156901637,"UCB-RBF"
"72",31,"Rough",74.8776054865967,95.4043145868337,"UCB-RBF"
"73",32,"Rough",74.5576588333274,95.5428370531567,"UCB-RBF"
"74",33,"Rough",76.6072511193958,95.7900159262924,"UCB-RBF"
"75",34,"Rough",77.950792153412,95.9806457654427,"UCB-RBF"
"76",35,"Rough",79.1995645193008,96.1480516045017,"UCB-RBF"
"77",36,"Rough",79.0773868805581,96.3442984252277,"UCB-RBF"
"78",37,"Rough",78.9888153286131,96.5051522951927,"UCB-RBF"
"79",38,"Rough",79.2419046948886,96.5694942426227,"UCB-RBF"
"80",39,"Rough",80.4963268209781,96.7962874618002,"UCB-RBF"
"81",40,"Rough",79.5689141282612,96.941746614128,"UCB-RBF"
"82",41,"Rough",82.3586433920618,97.1148921943032,"UCB-RBF"
