"","trial","Environment","meanReward","maxReward","Model"
"1",1,"Smooth",50.2465036002591,50.2465036002591,"Random"
"2",2,"Smooth",50.1986987051085,62.8791338057682,"Random"
"3",3,"Smooth",49.9085403616224,69.0649204076956,"Random"
"4",4,"Smooth",49.5003920194275,72.9438072657178,"Random"
"5",5,"Smooth",49.9638751473597,75.7422663722522,"Random"
"6",6,"Smooth",49.9355556424077,77.9341883166255,"Random"
"7",7,"Smooth",50.374596345046,79.6965794173765,"Random"
"8",8,"Smooth",49.7658123109545,81.0742966572765,"Random"
"9",9,"Smooth",49.3865013770954,82.25376368571,"Random"
"10",10,"Smooth",50.0288212459594,83.3918414244157,"Random"
"11",11,"Smooth",49.8199543548266,84.3201481097584,"Random"
"12",12,"Smooth",50.1692584662957,85.1471051018668,"Random"
"13",13,"Smooth",50.3209861848039,85.9440728384452,"Random"
"14",14,"Smooth",50.1256516831279,86.6528676405684,"Random"
"15",15,"Smooth",50.2319571921094,87.3003495549428,"Random"
"16",16,"Smooth",49.518199076862,87.8906706646482,"Random"
"17",17,"Smooth",49.7482657496779,88.4263192849495,"Random"
"18",18,"Smooth",49.9729962521462,88.9578532437702,"Random"
"19",19,"Smooth",49.6773983401032,89.3791571839208,"Random"
"20",20,"Smooth",50.2228377583605,89.8188393300114,"Random"
"21",21,"Smooth",50.1025747256137,90.2182399957317,"Random"
"22",22,"Smooth",49.943287603603,90.5763261136662,"Random"
"23",23,"Smooth",49.8743148958861,90.9220529871897,"Random"
"24",24,"Smooth",50.2027126793791,91.2371458113877,"Random"
"25",25,"Smooth",50.1163897748855,91.5387108290903,"Random"
"26",26,"Smooth",49.8691906450434,91.8213732843063,"Random"
"27",27,"Smooth",49.8628020517503,92.1257868509718,"Random"
"28",28,"Smooth",50.0213811721213,92.3994483496132,"Random"
"29",29,"Smooth",49.8864216096919,92.6806149641412,"Random"
"30",30,"Smooth",50.1582377902084,92.9532585524656,"Random"
"31",31,"Smooth",49.8971072085853,93.1840176592088,"Random"
"32",32,"Smooth",50.0073016899725,93.3850726491074,"Random"
"33",33,"Smooth",49.7851709362219,93.569869095896,"Random"
"34",34,"Smooth",49.8407440811678,93.7624770531912,"Random"
"35",35,"Smooth",49.9394275558191,93.9381610173523,"Random"
"36",36,"Smooth",49.5085619790735,94.1133086125631,"Random"
"37",37,"Smooth",49.7040969435149,94.2940885769279,"Random"
"38",38,"Smooth",49.8129474239164,94.4521374048535,"Random"
"39",39,"Smooth",49.9350084286946,94.6082357522182,"Random"
"40",40,"Smooth",50.1398919611043,94.7631141783487,"Random"
"41",41,"Smooth",49.7730644137957,94.8999519661078,"Random"
"42",1,"Rough",47.2569937040878,47.2569937040878,"Random"
"43",2,"Rough",47.5200093494194,59.1473449249253,"Random"
"44",3,"Rough",47.6863451506214,65.0805600152409,"Random"
"45",4,"Rough",47.0466537005847,68.7932402711208,"Random"
"46",5,"Rough",47.2581623971819,71.6077143088063,"Random"
"47",6,"Rough",47.3502018332715,73.7508373669079,"Random"
"48",7,"Rough",47.4857400402849,75.5870572300503,"Random"
"49",8,"Rough",47.0786956934223,76.987213866363,"Random"
"50",9,"Rough",47.5913605235709,78.29814045287,"Random"
"51",10,"Rough",47.3697462413967,79.4917214709734,"Random"
"52",11,"Rough",47.391276229933,80.4809554903528,"Random"
"53",12,"Rough",47.1053196457745,81.3475942668009,"Random"
"54",13,"Rough",47.6002222420751,82.1618559153236,"Random"
"55",14,"Rough",47.2715373379396,82.889432461102,"Random"
"56",15,"Rough",47.3948305179194,83.6061491985222,"Random"
"57",16,"Rough",47.384320695352,84.2566016888256,"Random"
"58",17,"Rough",47.4751184476963,84.8718504939071,"Random"
"59",18,"Rough",47.2624897760526,85.4040707875324,"Random"
"60",19,"Rough",47.3498291003436,85.9059886458773,"Random"
"61",20,"Rough",47.2855926912216,86.3720124775083,"Random"
"62",21,"Rough",47.4833558666807,86.7696627702437,"Random"
"63",22,"Rough",47.4816478060341,87.2105219892673,"Random"
"64",23,"Rough",47.2061413225265,87.5840150149218,"Random"
"65",24,"Rough",47.2977605167817,87.9620593062366,"Random"
"66",25,"Rough",47.3976276129959,88.2927992022554,"Random"
"67",26,"Rough",47.3800863779247,88.6705324327248,"Random"
"68",27,"Rough",47.5245200871622,89.0036359163834,"Random"
"69",28,"Rough",47.2548189764931,89.3066337627766,"Random"
"70",29,"Rough",47.2024792500678,89.5893837830148,"Random"
"71",30,"Rough",47.5092900645436,89.8986831374611,"Random"
"72",31,"Rough",47.4968791473253,90.1862927618797,"Random"
"73",32,"Rough",47.1441061463706,90.4236090644379,"Random"
"74",33,"Rough",47.4612898990528,90.7235233881061,"Random"
"75",34,"Rough",47.3363686482421,90.9464180031073,"Random"
"76",35,"Rough",47.4830498400055,91.1944976412894,"Random"
"77",36,"Rough",47.510270886883,91.4262787752345,"Random"
"78",37,"Rough",47.2196656337382,91.6472489287975,"Random"
"79",38,"Rough",47.0878428213987,91.8523922071672,"Random"
"80",39,"Rough",47.3789966316482,92.0660126696795,"Random"
"81",40,"Rough",47.3531514537959,92.2926822012485,"Random"
"82",41,"Rough",47.2312667190428,92.4871925596805,"Random"
